script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,A,1000000,,,2025-01-11 13:47:16.038854,2025-01-11 13:47:16.487400
sequential,B,1000000,,,2025-01-11 13:47:16.487843,2025-01-11 13:47:16.960171
sequential,C,1000000,,,2025-01-11 13:47:16.960225,2025-01-11 13:47:17.414769
sequential,D,1000000,,,2025-01-11 13:47:17.414807,2025-01-11 13:47:17.855800
sequential,E,1000000,,,2025-01-11 13:47:17.855834,2025-01-11 13:47:18.293159
sequential,F,1000000,,,2025-01-11 13:47:18.293207,2025-01-11 13:47:22.486303
sequential,G,1000000,,,2025-01-11 13:47:22.486357,2025-01-11 13:47:22.932419
sequential,H,1000000,,,2025-01-11 13:47:22.932456,2025-01-11 13:47:23.380858
sequential,ALL,,,,2025-01-11 13:47:16.038854,2025-01-11 13:47:23.380909
