script,count,avg_duration
sequential,10000,51201.333333333336
scheduler,10000,97987.33333333333
parallel execute,10000,24618991.666666668

sequential,100000,400363.3333333333
scheduler,100000,463210.3333333333
parallel execute,100000,24604681.333333332

sequential,1000000,3746818.6666666665
scheduler,1000000,3838017.0
parallel execute,1000000,24625330.0
