script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,A,,,,2025-01-10 09:16:27.665016,2025-01-10 09:16:31.284428
parallel execute,B,,,,2025-01-10 09:16:31.284489,2025-01-10 09:16:34.324322
parallel execute,C,,,,2025-01-10 09:16:34.324377,2025-01-10 09:16:37.374316
parallel execute,D,,,,2025-01-10 09:16:37.374375,2025-01-10 09:16:40.404290
parallel execute,E,,,,2025-01-10 09:16:40.404347,2025-01-10 09:16:43.444408
parallel execute,F,,,,2025-01-10 09:16:43.444472,2025-01-10 09:16:46.484369
parallel execute,G,,,,2025-01-10 09:16:46.484437,2025-01-10 09:16:49.534409
parallel execute,H,,,,2025-01-10 09:16:49.534463,2025-01-10 09:16:52.564355
parallel execute,ALL,,,,2025-01-10 09:16:27.665016,2025-01-10 09:16:52.564685
