script,count,avg_duration
sequential,10000,48687.0
scheduler,10000,127098.0
parallel execute,10000,24621604.333333332

sequential,100000,406477.3333333333
scheduler,100000,647794.6666666666
parallel execute,100000,24697702.0

sequential,1000000,3717092.0
scheduler,1000000,6728467.0
parallel execute,1000000,24624113.666666668
