script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,A,10000,,,2025-01-09 07:45:35.158851,2025-01-09 07:45:35.170199
sequential,B,10000,,,2025-01-09 07:45:35.170235,2025-01-09 07:45:35.179157
sequential,C,10000,,,2025-01-09 07:45:35.179192,2025-01-09 07:45:35.188598
sequential,D,10000,,,2025-01-09 07:45:35.188630,2025-01-09 07:45:35.197107
sequential,E,10000,,,2025-01-09 07:45:35.197137,2025-01-09 07:45:35.206920
sequential,F,10000,,,2025-01-09 07:45:35.206952,2025-01-09 07:45:35.216528
sequential,G,10000,,,2025-01-09 07:45:35.216557,2025-01-09 07:45:35.225134
sequential,H,10000,,,2025-01-09 07:45:35.225164,2025-01-09 07:45:35.233400
sequential,ALL,,,,2025-01-09 07:45:35.158851,2025-01-09 07:45:35.233805
