script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,A,100000,,,2025-01-10 10:08:03.843028,2025-01-10 10:08:03.887339
sequential,B,100000,,,2025-01-10 10:08:03.887367,2025-01-10 10:08:03.930866
sequential,C,100000,,,2025-01-10 10:08:03.930894,2025-01-10 10:08:03.974523
sequential,D,100000,,,2025-01-10 10:08:03.974548,2025-01-10 10:08:04.018860
sequential,E,100000,,,2025-01-10 10:08:04.018884,2025-01-10 10:08:04.062204
sequential,F,100000,,,2025-01-10 10:08:04.062227,2025-01-10 10:08:04.107524
sequential,G,100000,,,2025-01-10 10:08:04.107551,2025-01-10 10:08:04.152735
sequential,H,100000,,,2025-01-10 10:08:04.152759,2025-01-10 10:08:04.196867
sequential,ALL,,,,2025-01-10 10:08:03.843028,2025-01-10 10:08:04.196897
