script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,A,1000000,,,2025-01-11 15:30:51.550681,2025-01-11 15:30:51.995296
sequential,B,1000000,,,2025-01-11 15:30:51.995328,2025-01-11 15:30:52.445401
sequential,C,1000000,,,2025-01-11 15:30:52.445433,2025-01-11 15:30:52.889012
sequential,D,1000000,,,2025-01-11 15:30:52.889045,2025-01-11 15:30:53.674878
sequential,E,1000000,,,2025-01-11 15:30:53.674939,2025-01-11 15:30:54.111892
sequential,F,1000000,,,2025-01-11 15:30:54.111921,2025-01-11 15:30:54.557751
sequential,G,1000000,,,2025-01-11 15:30:54.557782,2025-01-11 15:30:55.004255
sequential,H,1000000,,,2025-01-11 15:30:55.004288,2025-01-11 15:30:55.453628
sequential,ALL,,,,2025-01-11 15:30:51.550681,2025-01-11 15:30:55.453663
