script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,A,,,,2025-01-10 10:12:56.980398,2025-01-10 10:13:00.302436
parallel execute,B,,,,2025-01-10 10:13:00.302495,2025-01-10 10:13:03.342357
parallel execute,C,,,,2025-01-10 10:13:03.342417,2025-01-10 10:13:06.382393
parallel execute,D,,,,2025-01-10 10:13:06.382459,2025-01-10 10:13:09.422367
parallel execute,E,,,,2025-01-10 10:13:09.422432,2025-01-10 10:13:12.462347
parallel execute,F,,,,2025-01-10 10:13:12.462392,2025-01-10 10:13:15.502439
parallel execute,G,,,,2025-01-10 10:13:15.502504,2025-01-10 10:13:18.542665
parallel execute,H,,,,2025-01-10 10:13:18.542726,2025-01-10 10:13:21.582257
parallel execute,ALL,,,,2025-01-10 10:12:56.980398,2025-01-10 10:13:21.582332
