script,count,avg_duration
sequential,10000,47767.333333333336
scheduler,10000,203072.66666666666
parallel execute,10000,24617754.0

sequential,100000,446540.6666666667
scheduler,100000,454195.0
parallel execute,100000,23728050.666666668

sequential,1000000,3868976.0
scheduler,1000000,5979202.333333333
parallel execute,1000000,24659117.0
