script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,A,90813,AAARohAAAAAAgLqAAA,AAARohAAAAAAgWeH//,2025-01-17 09:17:50.509337,2025-01-17 09:17:50.585796
parallel execute,A,90825,AAARohAAAAAAgWfAAA,AAARohAAAAAAghTH//,2025-01-17 09:17:50.531051,2025-01-17 09:17:50.648797
parallel execute,A,90753,AAARohAAAAAAghUAAA,AAARohAAAAAAgsIH//,2025-01-17 09:17:50.586169,2025-01-17 09:17:50.705264
parallel execute,A,90812,AAARohAAAAAAgsJAAA,AAARohAAAAAAg29H//,2025-01-17 09:17:50.649361,2025-01-17 09:17:50.761451
parallel execute,A,90784,AAARohAAAAAAg2+AAA,AAARohAAAAAAhByH//,2025-01-17 09:17:50.705792,2025-01-17 09:17:50.841701
parallel execute,A,90802,AAARohAAAAAAhBzAAA,AAARohAAAAAAhMnH//,2025-01-17 09:17:50.761962,2025-01-17 09:17:50.859179
parallel execute,A,90904,AAARohAAAAAAhMoAAA,AAARohAAAAAAhXcH//,2025-01-17 09:17:50.842190,2025-01-17 09:17:50.905199
parallel execute,A,90789,AAARohAAAAAAhXdAAA,AAARohAAAAAAhiRH//,2025-01-17 09:17:50.888160,2025-01-17 09:17:51.007302
parallel execute,A,1107,AAARohAAAAAAhtHAAA,AAARohAAAAAAht/H//,2025-01-17 09:17:51.007801,2025-01-17 09:17:51.009011
parallel execute,A,90851,AAARohAAAAAAhiSAAA,AAARohAAAAAAhtGH//,2025-01-17 09:17:50.905628,2025-01-17 09:17:51.014017
parallel execute,ALL,,,,2025-01-17 09:17:50.415936,2025-01-17 09:17:53.478166
parallel execute,A,90741,AAARohAAAAAACfwAAA,AAARohAAAAAAgA0H//,2025-01-17 09:17:50.431229,2025-01-17 09:17:50.470707
parallel execute,A,90819,AAARohAAAAAAgA1AAA,AAARohAAAAAAgLpH//,2025-01-17 09:17:50.471130,2025-01-17 09:17:50.508932

