script,count,avg_duration
sequential,10000,52519.0
scheduler,10000,138914.33333333334
parallel execute,10000,24769088.666666668

sequential,100000,420338.0
scheduler,100000,698799.3333333334
parallel execute,100000,24654829.0

sequential,1000000,3834920.3333333335
scheduler,1000000,7592172.333333333
parallel execute,1000000,24821653.333333332
