script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
scheduler,C,10000,,,2025-01-09 12:14:08.477108,2025-01-09 12:14:08.509335
scheduler,D,10000,,,2025-01-09 12:14:08.456989,2025-01-09 12:14:08.507554
scheduler,F,10000,,,2025-01-09 12:14:08.431120,2025-01-09 12:14:08.503276
scheduler,B,10000,,,2025-01-09 12:14:08.429923,2025-01-09 12:14:08.501537
scheduler,E,10000,,,2025-01-09 12:14:08.430193,2025-01-09 12:14:08.501448
scheduler,G,10000,,,2025-01-09 12:14:08.432028,2025-01-09 12:14:08.499760
scheduler,H,10000,,,2025-01-09 12:14:08.430307,2025-01-09 12:14:08.498443
scheduler,A,10000,,,2025-01-09 12:14:08.430329,2025-01-09 12:14:08.496177
scheduler,ALL,,,,2025-01-09 12:14:08.429923,2025-01-09 12:14:08.509335
