script,count,avg_duration
sequential,10000,47410.333333333336
scheduler,10000,154947.33333333334
parallel execute,10000,24633382.333333332

sequential,100000,397003.0
scheduler,100000,633741.3333333334
parallel execute,100000,24653059.0

sequential,1000000,3711636.3333333335
scheduler,1000000,5948987.333333333
parallel execute,1000000,24698850.0
