script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,A,,,,2025-01-09 17:01:17.614100,2025-01-09 17:01:20.938115
parallel execute,B,,,,2025-01-09 17:01:20.938183,2025-01-09 17:01:23.988064
parallel execute,C,,,,2025-01-09 17:01:23.988123,2025-01-09 17:01:27.018141
parallel execute,D,,,,2025-01-09 17:01:27.018208,2025-01-09 17:01:30.058014
parallel execute,E,,,,2025-01-09 17:01:30.058068,2025-01-09 17:01:33.097988
parallel execute,F,,,,2025-01-09 17:01:33.098081,2025-01-09 17:01:36.147996
parallel execute,G,,,,2025-01-09 17:01:36.148059,2025-01-09 17:01:39.178050
parallel execute,H,,,,2025-01-09 17:01:39.178109,2025-01-09 17:01:42.218013
parallel execute,ALL,,,,2025-01-09 17:01:17.614100,2025-01-09 17:01:42.218102
