script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,ALL,,,,2024-12-09 15:33:25.193384,2024-12-09 15:33:50.075172
parallel execute,H,,,,2024-12-09 15:33:47.044931,2024-12-09 15:33:50.074854
parallel execute,H-2,3578,AAARnYAAAAAAf+CAAA,AAARnYAAAAAAf+fH//,2024-12-09 15:33:47.061690,2024-12-09 15:33:47.063020
parallel execute,H-1,6422,AAARnYAAAAAAb/QAAA,AAARnYAAAAAAf+BH//,2024-12-09 15:33:47.054793,2024-12-09 15:33:47.061304
parallel execute,G,,,,2024-12-09 15:33:43.994902,2024-12-09 15:33:47.044857
parallel execute,G-2,3593,AAARnXAAAAAAf86AAA,AAARnXAAAAAAf9XH//,2024-12-09 15:33:44.012360,2024-12-09 15:33:44.013588
parallel execute,G-1,6407,AAARnXAAAAAAb/IAAA,AAARnXAAAAAAf85H//,2024-12-09 15:33:44.005071,2024-12-09 15:33:44.011922
parallel execute,F,,,,2024-12-09 15:33:40.955143,2024-12-09 15:33:43.994847
parallel execute,F-2,3580,AAARnWAAAAAAf7yAAA,AAARnWAAAAAAf8PH//,2024-12-09 15:33:40.973328,2024-12-09 15:33:40.974601
parallel execute,F-1,6420,AAARnWAAAAAAb/AAAA,AAARnWAAAAAAf7xH//,2024-12-09 15:33:40.965609,2024-12-09 15:33:40.972972
parallel execute,E,,,,2024-12-09 15:33:37.915050,2024-12-09 15:33:40.955003
parallel execute,E-2,3567,AAARnVAAAAAAf6qAAA,AAARnVAAAAAAf7HH//,2024-12-09 15:33:37.932504,2024-12-09 15:33:37.934004
parallel execute,E-1,6433,AAARnVAAAAAAb+4AAA,AAARnVAAAAAAf6pH//,2024-12-09 15:33:37.924869,2024-12-09 15:33:37.932100
parallel execute,D,,,,2024-12-09 15:33:34.885097,2024-12-09 15:33:37.914992
parallel execute,D-2,3585,AAARnUAAAAAAcDiAAA,AAARnUAAAAAAcD/H//,2024-12-09 15:33:34.902736,2024-12-09 15:33:34.903964
parallel execute,D-1,6415,AAARnUAAAAAAb+wAAA,AAARnUAAAAAAcDhH//,2024-12-09 15:33:34.895461,2024-12-09 15:33:34.902316
parallel execute,C,,,,2024-12-09 15:33:31.835150,2024-12-09 15:33:34.885044
parallel execute,C-2,6423,AAARnTAAAAAAb+oAAA,AAARnTAAAAAAcCpH//,2024-12-09 15:33:31.859885,2024-12-09 15:33:31.870819
parallel execute,C-1,3577,AAARnTAAAAAAcCqAAA,AAARnTAAAAAAf3/H//,2024-12-09 15:33:31.860042,2024-12-09 15:33:31.869986
parallel execute,B,,,,2024-12-09 15:33:28.795404,2024-12-09 15:33:31.835096
parallel execute,B-2,3576,AAARnSAAAAAAf3SAAA,AAARnSAAAAAAf3vH//,2024-12-09 15:33:28.814229,2024-12-09 15:33:28.815621
parallel execute,B-1,6424,AAARnSAAAAAAb+IAAA,AAARnSAAAAAAf3RH//,2024-12-09 15:33:28.806908,2024-12-09 15:33:28.813815
parallel execute,A,,,,2024-12-09 15:33:25.193384,2024-12-09 15:33:28.795345
parallel execute,A-2,3570,AAARnRAAAAAAcECAAA,AAARnRAAAAAAf2nH//,2024-12-09 15:33:25.723238,2024-12-09 15:33:25.724752
parallel execute,A-1,6430,AAARnRAAAAAACfwAAA,AAARnRAAAAAAcEBH//,2024-12-09 15:33:25.714839,2024-12-09 15:33:25.721825

