script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
scheduler,A,1000000,,,2025-01-11 14:41:11.841546,2025-01-11 14:41:15.254492
scheduler,D,1000000,,,2025-01-11 14:41:12.012040,2025-01-11 14:41:16.799675
scheduler,G,1000000,,,2025-01-11 14:41:12.043732,2025-01-11 14:41:18.588536
scheduler,B,1000000,,,2025-01-11 14:41:12.056918,2025-01-11 14:41:18.508734
scheduler,C,1000000,,,2025-01-11 14:41:12.077738,2025-01-11 14:41:16.961812
scheduler,E,1000000,,,2025-01-11 14:41:12.094013,2025-01-11 14:41:18.172235
scheduler,H,1000000,,,2025-01-11 14:41:12.110015,2025-01-11 14:41:18.337562
scheduler,F,1000000,,,2025-01-11 14:41:12.151132,2025-01-11 14:41:16.566544
scheduler,ALL,,,,2025-01-11 14:41:11.841546,2025-01-11 14:41:18.588536
