script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,A,100000,,,2025-01-10 09:32:05.671062,2025-01-10 09:32:05.714916
sequential,B,100000,,,2025-01-10 09:32:05.714944,2025-01-10 09:32:05.757657
sequential,C,100000,,,2025-01-10 09:32:05.757680,2025-01-10 09:32:05.800092
sequential,D,100000,,,2025-01-10 09:32:05.800113,2025-01-10 09:32:05.842585
sequential,E,100000,,,2025-01-10 09:32:05.842611,2025-01-10 09:32:05.885357
sequential,F,100000,,,2025-01-10 09:32:05.885404,2025-01-10 09:32:05.929570
sequential,G,100000,,,2025-01-10 09:32:05.929597,2025-01-10 09:32:05.973473
sequential,H,100000,,,2025-01-10 09:32:05.973497,2025-01-10 09:32:06.015839
sequential,ALL,,,,2025-01-10 09:32:05.671062,2025-01-10 09:32:06.015871
