script,cpu,avg_duration
sequential,1,53224.0
scheduler,1,150306.33333333334
parallel execute,1,23724690.333333332
sequential,2,56826.666666666664
scheduler,2,44600.333333333336
parallel execute,2,24651243.666666668
sequential,4,47410.333333333336
scheduler,4,154947.33333333334
parallel execute,4,24633382.333333332
sequential,8,51211.333333333336
scheduler,8,175688.0
parallel execute,8,24644150.333333332
