script,cpu,avg_duration
sequential,1,3769955.0
scheduler,1,3899426.6666666665
parallel execute,1,24725545.666666668
sequential,2,3995239.6666666665
scheduler,2,6853975.333333333
parallel execute,2,35958971.666666664
sequential,4,3711636.3333333335
scheduler,4,5948987.333333333
parallel execute,4,24698850.0
sequential,8,3752711.3333333335
scheduler,8,7176076.333333333
parallel execute,8,24757962.333333332
