script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,A,1000000,,,2025-01-11 16:09:34.842294,2025-01-11 16:09:35.317585
sequential,B,1000000,,,2025-01-11 16:09:35.317638,2025-01-11 16:09:35.900792
sequential,C,1000000,,,2025-01-11 16:09:35.900856,2025-01-11 16:09:36.587805
sequential,D,1000000,,,2025-01-11 16:09:36.587875,2025-01-11 16:09:37.155042
sequential,E,1000000,,,2025-01-11 16:09:37.155117,2025-01-11 16:09:37.640581
sequential,F,1000000,,,2025-01-11 16:09:37.640635,2025-01-11 16:09:38.423586
sequential,G,1000000,,,2025-01-11 16:09:38.423646,2025-01-11 16:09:38.917589
sequential,H,1000000,,,2025-01-11 16:09:38.917640,2025-01-11 16:09:39.389482
sequential,ALL,,,,2025-01-11 16:09:34.842294,2025-01-11 16:09:39.389561
