script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,H,10000,,,2025-01-09 12:40:07.488293,2025-01-09 12:40:07.492452
sequential,G,10000,,,2025-01-09 12:40:07.484185,2025-01-09 12:40:07.488276
sequential,F,10000,,,2025-01-09 12:40:07.479450,2025-01-09 12:40:07.484168
sequential,E,10000,,,2025-01-09 12:40:07.474911,2025-01-09 12:40:07.479433
sequential,D,10000,,,2025-01-09 12:40:07.470627,2025-01-09 12:40:07.474894
sequential,C,10000,,,2025-01-09 12:40:07.466063,2025-01-09 12:40:07.470610
sequential,B,10000,,,2025-01-09 12:40:07.461591,2025-01-09 12:40:07.466045
sequential,A,10000,,,2025-01-09 12:40:07.457587,2025-01-09 12:40:07.461570
sequential,ALL,,,,2025-01-09 12:40:07.457587,2025-01-09 12:40:07.492477
