script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,H-1,3578,AAARnYAAAAAAf+CAAA,AAARnYAAAAAAf+fH//,2025-01-09 12:46:37.018998,2025-01-09 12:46:37.020178
parallel execute,H-2,6422,AAARnYAAAAAAb/QAAA,AAARnYAAAAAAf+BH//,2025-01-09 12:46:37.016145,2025-01-09 12:46:37.018659
parallel execute,H,,,,2025-01-09 12:46:37.007610,2025-01-09 12:46:40.057474
parallel execute,G-1,3593,AAARnXAAAAAAf86AAA,AAARnXAAAAAAf9XH//,2025-01-09 12:46:33.978739,2025-01-09 12:46:33.979932
parallel execute,G-2,6407,AAARnXAAAAAAb/IAAA,AAARnXAAAAAAf85H//,2025-01-09 12:46:33.975883,2025-01-09 12:46:33.978411
parallel execute,G,,,,2025-01-09 12:46:33.967528,2025-01-09 12:46:37.007551
parallel execute,F-1,3580,AAARnWAAAAAAf7yAAA,AAARnWAAAAAAf8PH//,2025-01-09 12:46:30.941244,2025-01-09 12:46:30.942408
parallel execute,F-2,6420,AAARnWAAAAAAb/AAAA,AAARnWAAAAAAf7xH//,2025-01-09 12:46:30.936121,2025-01-09 12:46:30.940901
parallel execute,F,,,,2025-01-09 12:46:30.927752,2025-01-09 12:46:33.967469
parallel execute,E-1,3567,AAARnVAAAAAAf6qAAA,AAARnVAAAAAAf7HH//,2025-01-09 12:46:27.899840,2025-01-09 12:46:27.901203
parallel execute,E-2,6433,AAARnVAAAAAAb+4AAA,AAARnVAAAAAAf6pH//,2025-01-09 12:46:27.895758,2025-01-09 12:46:27.899508
parallel execute,E,,,,2025-01-09 12:46:27.887613,2025-01-09 12:46:30.927685
parallel execute,D-1,6415,AAARnUAAAAAAb+wAAA,AAARnUAAAAAAcDhH//,2025-01-09 12:46:24.940918,2025-01-09 12:46:24.947395
parallel execute,D-2,3585,AAARnUAAAAAAcDiAAA,AAARnUAAAAAAcD/H//,2025-01-09 12:46:24.940916,2025-01-09 12:46:24.945931
parallel execute,D,,,,2025-01-09 12:46:24.847776,2025-01-09 12:46:27.887498
parallel execute,C-1,3577,AAARnTAAAAAAcCqAAA,AAARnTAAAAAAf3/H//,2025-01-09 12:46:21.830840,2025-01-09 12:46:21.832267
parallel execute,C-2,6423,AAARnTAAAAAAb+oAAA,AAARnTAAAAAAcCpH//,2025-01-09 12:46:21.826439,2025-01-09 12:46:21.830521
parallel execute,C,,,,2025-01-09 12:46:21.817476,2025-01-09 12:46:24.847716
parallel execute,B-1,3576,AAARnSAAAAAAf3SAAA,AAARnSAAAAAAf3vH//,2025-01-09 12:46:18.907021,2025-01-09 12:46:18.909473
parallel execute,B-2,6424,AAARnSAAAAAAb+IAAA,AAARnSAAAAAAf3RH//,2025-01-09 12:46:18.891792,2025-01-09 12:46:18.895304
parallel execute,B,,,,2025-01-09 12:46:18.777538,2025-01-09 12:46:21.817415
parallel execute,A-1,3570,AAARnRAAAAAAcECAAA,AAARnRAAAAAAf2nH//,2025-01-09 12:46:15.770988,2025-01-09 12:46:15.776624
parallel execute,A-2,6430,AAARnRAAAAAACfwAAA,AAARnRAAAAAAcEBH//,2025-01-09 12:46:15.770601,2025-01-09 12:46:15.777411
parallel execute,A,,,,2025-01-09 12:46:15.499512,2025-01-09 12:46:18.777470
parallel execute,ALL,,,,2025-01-09 12:46:15.499512,2025-01-09 12:46:40.057553

