script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
scheduler,A,100000,,,2025-01-10 09:24:08.299376,2025-01-10 09:24:08.345775
scheduler,D,100000,,,2025-01-10 09:24:08.495277,2025-01-10 09:24:08.901208
scheduler,G,100000,,,2025-01-10 09:24:08.496717,2025-01-10 09:24:08.908175
scheduler,B,100000,,,2025-01-10 09:24:08.503210,2025-01-10 09:24:09.018741
scheduler,E,100000,,,2025-01-10 09:24:08.509614,2025-01-10 09:24:09.011327
scheduler,C,100000,,,2025-01-10 09:24:08.516943,2025-01-10 09:24:09.027270
scheduler,H,100000,,,2025-01-10 09:24:08.523542,2025-01-10 09:24:08.923688
scheduler,F,100000,,,2025-01-10 09:24:08.529407,2025-01-10 09:24:09.038295
scheduler,ALL,,,,2025-01-10 09:24:08.299376,2025-01-10 09:24:09.038295
