script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,A,10000,,,2025-01-06 16:57:14.669198,2025-01-06 16:57:14.673606
sequential,B,10000,,,2025-01-06 16:57:14.673627,2025-01-06 16:57:14.678260
sequential,C,10000,,,2025-01-06 16:57:14.678277,2025-01-06 16:57:14.682857
sequential,D,10000,,,2025-01-06 16:57:14.682876,2025-01-06 16:57:14.687174
sequential,E,10000,,,2025-01-06 16:57:14.687193,2025-01-06 16:57:14.691605
sequential,F,10000,,,2025-01-06 16:57:14.691623,2025-01-06 16:57:14.696320
sequential,G,10000,,,2025-01-06 16:57:14.696337,2025-01-06 16:57:14.700445
sequential,H,10000,,,2025-01-06 16:57:14.700464,2025-01-06 16:57:14.704919
sequential,ALL,,,,2025-01-06 16:57:14.669198,2025-01-06 16:57:14.704945
