script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,ALL,,,,2025-01-06 17:05:34.043430,2025-01-06 17:05:58.618333
parallel execute,H-1,3578,AAARnYAAAAAAf+CAAA,AAARnYAAAAAAf+fH//,2025-01-06 17:05:55.655048,2025-01-06 17:05:55.663112
parallel execute,H,,,,2025-01-06 17:05:55.578417,2025-01-06 17:05:58.618266
parallel execute,H-2,6422,AAARnYAAAAAAb/QAAA,AAARnYAAAAAAf+BH//,2025-01-06 17:05:55.657635,2025-01-06 17:05:55.667062
parallel execute,G-1,6407,AAARnXAAAAAAb/IAAA,AAARnXAAAAAAf85H//,2025-01-06 17:05:52.560123,2025-01-06 17:05:52.562844
parallel execute,G,,,,2025-01-06 17:05:52.538227,2025-01-06 17:05:55.578338
parallel execute,G-2,3593,AAARnXAAAAAAf86AAA,AAARnXAAAAAAf9XH//,2025-01-06 17:05:52.563249,2025-01-06 17:05:52.564493
parallel execute,F-1,3580,AAARnWAAAAAAf7yAAA,AAARnWAAAAAAf8PH//,2025-01-06 17:05:49.615717,2025-01-06 17:05:49.617065
parallel execute,F,,,,2025-01-06 17:05:49.498211,2025-01-06 17:05:52.538170
parallel execute,F-2,6420,AAARnWAAAAAAb/AAAA,AAARnWAAAAAAf7xH//,2025-01-06 17:05:49.619179,2025-01-06 17:05:49.627401
parallel execute,E-1,6433,AAARnVAAAAAAb+4AAA,AAARnVAAAAAAf6pH//,2025-01-06 17:05:46.480192,2025-01-06 17:05:46.483032
parallel execute,E,,,,2025-01-06 17:05:46.458170,2025-01-06 17:05:49.498163
parallel execute,E-2,3567,AAARnVAAAAAAf6qAAA,AAARnVAAAAAAf7HH//,2025-01-06 17:05:46.483379,2025-01-06 17:05:46.484678
parallel execute,D-1,3585,AAARnUAAAAAAcDiAAA,AAARnUAAAAAAcD/H//,2025-01-06 17:05:43.466912,2025-01-06 17:05:43.471637
parallel execute,D,,,,2025-01-06 17:05:43.418187,2025-01-06 17:05:46.458115
parallel execute,D-2,6415,AAARnUAAAAAAb+wAAA,AAARnUAAAAAAcDhH//,2025-01-06 17:05:43.463069,2025-01-06 17:05:43.477195
parallel execute,C-1,3577,AAARnTAAAAAAcCqAAA,AAARnTAAAAAAf3/H//,2025-01-06 17:05:40.416175,2025-01-06 17:05:40.423469
parallel execute,C,,,,2025-01-06 17:05:40.378263,2025-01-06 17:05:43.418132
parallel execute,C-2,6423,AAARnTAAAAAAb+oAAA,AAARnTAAAAAAcCpH//,2025-01-06 17:05:40.412514,2025-01-06 17:05:40.425637
parallel execute,B-1,6424,AAARnSAAAAAAb+IAAA,AAARnSAAAAAAf3RH//,2025-01-06 17:05:37.370221,2025-01-06 17:05:37.372978
parallel execute,B,,,,2025-01-06 17:05:37.338160,2025-01-06 17:05:40.378196
parallel execute,B-2,3576,AAARnSAAAAAAf3SAAA,AAARnSAAAAAAf3vH//,2025-01-06 17:05:37.373324,2025-01-06 17:05:37.374614
parallel execute,A,,,,2025-01-06 17:05:34.043430,2025-01-06 17:05:37.338108
parallel execute,A-1,3570,AAARnRAAAAAAcECAAA,AAARnRAAAAAAf2nH//,2025-01-06 17:05:34.376338,2025-01-06 17:05:34.385741
parallel execute,A-2,6430,AAARnRAAAAAACfwAAA,AAARnRAAAAAAcEBH//,2025-01-06 17:05:34.372890,2025-01-06 17:05:34.387646
