script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,F,,,,2025-01-10 10:01:58.781957,2025-01-10 10:02:01.822006
parallel execute,G,,,,2025-01-10 10:02:01.822058,2025-01-10 10:02:04.861771
parallel execute,H,,,,2025-01-10 10:02:04.861825,2025-01-10 10:02:07.901713
parallel execute,ALL,,,,2025-01-10 10:01:45.865701,2025-01-10 10:02:07.902043
parallel execute,A,,,,2025-01-10 10:01:45.865701,2025-01-10 10:01:46.596893
parallel execute,B,,,,2025-01-10 10:01:46.596938,2025-01-10 10:01:49.661799
parallel execute,C,,,,2025-01-10 10:01:49.661852,2025-01-10 10:01:52.701793
parallel execute,D,,,,2025-01-10 10:01:52.701857,2025-01-10 10:01:55.741866
parallel execute,E,,,,2025-01-10 10:01:55.741929,2025-01-10 10:01:58.781897
