script,count,avg_duration
sequential,10000,51211.333333333336
scheduler,10000,175688.0
parallel execute,10000,24644150.333333332

sequential,100000,362685.0
scheduler,100000,790666.6666666666
parallel execute,100000,24642515.0

sequential,1000000,3752711.3333333335
scheduler,1000000,7176076.333333333
parallel execute,1000000,24757962.333333332
