script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,ALL,,,,2025-01-06 17:20:14.536623,2025-01-06 17:20:39.122357
parallel execute,H,,,,2025-01-06 17:20:36.092212,2025-01-06 17:20:39.122276
parallel execute,H-1,6422,AAARnYAAAAAAb/QAAA,AAARnYAAAAAAf+BH//,2025-01-06 17:20:36.155404,2025-01-06 17:20:36.161522
parallel execute,H-2,3578,AAARnYAAAAAAf+CAAA,AAARnYAAAAAAf+fH//,2025-01-06 17:20:36.155417,2025-01-06 17:20:36.160365
parallel execute,G,,,,2025-01-06 17:20:33.052271,2025-01-06 17:20:36.092163
parallel execute,G-1,3593,AAARnXAAAAAAf86AAA,AAARnXAAAAAAf9XH//,2025-01-06 17:20:33.063307,2025-01-06 17:20:33.064454
parallel execute,G-2,6407,AAARnXAAAAAAb/IAAA,AAARnXAAAAAAf85H//,2025-01-06 17:20:33.060460,2025-01-06 17:20:33.062997
parallel execute,F,,,,2025-01-06 17:20:30.002236,2025-01-06 17:20:33.052210
parallel execute,F-1,3580,AAARnWAAAAAAf7yAAA,AAARnWAAAAAAf8PH//,2025-01-06 17:20:30.013236,2025-01-06 17:20:30.014388
parallel execute,F-2,6420,AAARnWAAAAAAb/AAAA,AAARnWAAAAAAf7xH//,2025-01-06 17:20:30.009882,2025-01-06 17:20:30.012896
parallel execute,E,,,,2025-01-06 17:20:26.962205,2025-01-06 17:20:30.002184
parallel execute,E-1,3567,AAARnVAAAAAAf6qAAA,AAARnVAAAAAAf7HH//,2025-01-06 17:20:26.973118,2025-01-06 17:20:26.974372
parallel execute,E-2,6433,AAARnVAAAAAAb+4AAA,AAARnVAAAAAAf6pH//,2025-01-06 17:20:26.970179,2025-01-06 17:20:26.972808
parallel execute,D,,,,2025-01-06 17:20:23.922229,2025-01-06 17:20:26.962149
parallel execute,D-1,3585,AAARnUAAAAAAcDiAAA,AAARnUAAAAAAcD/H//,2025-01-06 17:20:23.933272,2025-01-06 17:20:23.934255
parallel execute,D-2,6415,AAARnUAAAAAAb+wAAA,AAARnUAAAAAAcDhH//,2025-01-06 17:20:23.929991,2025-01-06 17:20:23.932944
parallel execute,C,,,,2025-01-06 17:20:20.882247,2025-01-06 17:20:23.922159
parallel execute,C-1,3577,AAARnTAAAAAAcCqAAA,AAARnTAAAAAAf3/H//,2025-01-06 17:20:20.893188,2025-01-06 17:20:20.894643
parallel execute,C-2,6423,AAARnTAAAAAAb+oAAA,AAARnTAAAAAAcCpH//,2025-01-06 17:20:20.890082,2025-01-06 17:20:20.892858
parallel execute,B,,,,2025-01-06 17:20:17.842308,2025-01-06 17:20:20.882190
parallel execute,B-1,3576,AAARnSAAAAAAf3SAAA,AAARnSAAAAAAf3vH//,2025-01-06 17:20:17.853328,2025-01-06 17:20:17.854613
parallel execute,B-2,6424,AAARnSAAAAAAb+IAAA,AAARnSAAAAAAf3RH//,2025-01-06 17:20:17.850309,2025-01-06 17:20:17.852999
parallel execute,A,,,,2025-01-06 17:20:14.536623,2025-01-06 17:20:17.842249
parallel execute,A-1,3570,AAARnRAAAAAAcECAAA,AAARnRAAAAAAf2nH//,2025-01-06 17:20:14.789259,2025-01-06 17:20:14.790668
parallel execute,A-2,6430,AAARnRAAAAAACfwAAA,AAARnRAAAAAAcEBH//,2025-01-06 17:20:14.786695,2025-01-06 17:20:14.788928
