script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,A,,,,2025-01-09 13:21:13.233596,2025-01-09 13:21:16.342040
parallel execute,B,,,,2025-01-09 13:21:16.342103,2025-01-09 13:21:19.372061
parallel execute,C,,,,2025-01-09 13:21:19.372120,2025-01-09 13:21:22.422060
parallel execute,D,,,,2025-01-09 13:21:22.422126,2025-01-09 13:21:25.452065
parallel execute,E,,,,2025-01-09 13:21:25.452138,2025-01-09 13:21:28.502142
parallel execute,F,,,,2025-01-09 13:21:28.502198,2025-01-09 13:21:31.532058
parallel execute,G,,,,2025-01-09 13:21:31.532123,2025-01-09 13:21:34.572256
parallel execute,H,,,,2025-01-09 13:21:34.572318,2025-01-09 13:21:37.612096
parallel execute,ALL,,,,2025-01-09 13:21:13.233596,2025-01-09 13:21:37.612176
