script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,ALL,,,,2024-12-09 15:36:03.144069,2024-12-09 15:36:27.753549
parallel execute,H,,,,2024-12-09 15:36:24.723460,2024-12-09 15:36:27.753466
parallel execute,H-2,3578,AAARnYAAAAAAf+CAAA,AAARnYAAAAAAf+fH//,2024-12-09 15:36:24.734845,2024-12-09 15:36:24.736107
parallel execute,H-1,6422,AAARnYAAAAAAb/QAAA,AAARnYAAAAAAf+BH//,2024-12-09 15:36:24.731831,2024-12-09 15:36:24.734427
parallel execute,G,,,,2024-12-09 15:36:21.673477,2024-12-09 15:36:24.723402
parallel execute,G-2,3593,AAARnXAAAAAAf86AAA,AAARnXAAAAAAf9XH//,2024-12-09 15:36:21.684336,2024-12-09 15:36:21.685548
parallel execute,G-1,6407,AAARnXAAAAAAb/IAAA,AAARnXAAAAAAf85H//,2024-12-09 15:36:21.681418,2024-12-09 15:36:21.684002
parallel execute,F,,,,2024-12-09 15:36:18.633454,2024-12-09 15:36:21.673423
parallel execute,F-2,3580,AAARnWAAAAAAf7yAAA,AAARnWAAAAAAf8PH//,2024-12-09 15:36:18.645403,2024-12-09 15:36:18.646724
parallel execute,F-1,6420,AAARnWAAAAAAb/AAAA,AAARnWAAAAAAf7xH//,2024-12-09 15:36:18.641638,2024-12-09 15:36:18.645083
parallel execute,E,,,,2024-12-09 15:36:15.593464,2024-12-09 15:36:18.633396
parallel execute,E-2,3567,AAARnVAAAAAAf6qAAA,AAARnVAAAAAAf7HH//,2024-12-09 15:36:15.604828,2024-12-09 15:36:15.606220
parallel execute,E-1,6433,AAARnVAAAAAAb+4AAA,AAARnVAAAAAAf6pH//,2024-12-09 15:36:15.601684,2024-12-09 15:36:15.604448
parallel execute,D,,,,2024-12-09 15:36:12.553482,2024-12-09 15:36:15.593402
parallel execute,D-2,3585,AAARnUAAAAAAcDiAAA,AAARnUAAAAAAcD/H//,2024-12-09 15:36:12.565597,2024-12-09 15:36:12.566747
parallel execute,D-1,6415,AAARnUAAAAAAb+wAAA,AAARnUAAAAAAcDhH//,2024-12-09 15:36:12.562218,2024-12-09 15:36:12.565258
parallel execute,C,,,,2024-12-09 15:36:09.523512,2024-12-09 15:36:12.553425
parallel execute,C-2,3577,AAARnTAAAAAAcCqAAA,AAARnTAAAAAAf3/H//,2024-12-09 15:36:09.535428,2024-12-09 15:36:09.536970
parallel execute,C-1,6423,AAARnTAAAAAAb+oAAA,AAARnTAAAAAAcCpH//,2024-12-09 15:36:09.532070,2024-12-09 15:36:09.535071
parallel execute,B,,,,2024-12-09 15:36:06.473625,2024-12-09 15:36:09.523445
parallel execute,B-2,3576,AAARnSAAAAAAf3SAAA,AAARnSAAAAAAf3vH//,2024-12-09 15:36:06.484842,2024-12-09 15:36:06.486212
parallel execute,B-1,6424,AAARnSAAAAAAb+IAAA,AAARnSAAAAAAf3RH//,2024-12-09 15:36:06.481722,2024-12-09 15:36:06.484513
parallel execute,A,,,,2024-12-09 15:36:03.144069,2024-12-09 15:36:06.473559
parallel execute,A-2,3570,AAARnRAAAAAAcECAAA,AAARnRAAAAAAf2nH//,2024-12-09 15:36:03.402748,2024-12-09 15:36:03.404403
parallel execute,A-1,6430,AAARnRAAAAAACfwAAA,AAARnRAAAAAAcEBH//,2024-12-09 15:36:03.399882,2024-12-09 15:36:03.402400


