script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,A,1000000,,,2025-01-11 14:04:26.202770,2025-01-11 14:04:26.638686
sequential,B,1000000,,,2025-01-11 14:04:26.638717,2025-01-11 14:04:27.072412
sequential,C,1000000,,,2025-01-11 14:04:27.072442,2025-01-11 14:04:27.516913
sequential,D,1000000,,,2025-01-11 14:04:27.516940,2025-01-11 14:04:27.956697
sequential,E,1000000,,,2025-01-11 14:04:27.956744,2025-01-11 14:04:28.414162
sequential,F,1000000,,,2025-01-11 14:04:28.414199,2025-01-11 14:04:28.904970
sequential,G,1000000,,,2025-01-11 14:04:28.905019,2025-01-11 14:04:29.358365
sequential,H,1000000,,,2025-01-11 14:04:29.358398,2025-01-11 14:04:29.805834
sequential,ALL,,,,2025-01-11 14:04:26.202770,2025-01-11 14:04:29.805903
