script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,A,,,,2025-01-11 16:15:27.944836,2025-01-11 16:15:55.531293
parallel execute,H,,,,2025-01-11 16:16:33.927194,2025-01-11 16:16:40.182280
parallel execute,ALL,,,,2025-01-11 16:15:27.944836,2025-01-11 16:16:40.272870
parallel execute,G,,,,2025-01-11 16:16:30.478266,2025-01-11 16:16:33.908513
parallel execute,B,,,,2025-01-11 16:15:55.542383,2025-01-11 16:15:58.995507
parallel execute,E,,,,2025-01-11 16:16:16.205148,2025-01-11 16:16:23.937842
parallel execute,D,,,,2025-01-11 16:16:02.497419,2025-01-11 16:16:16.175949
parallel execute,C,,,,2025-01-11 16:15:59.004582,2025-01-11 16:16:02.475744
parallel execute,F,,,,2025-01-11 16:16:23.962365,2025-01-11 16:16:30.461104
