script,count,avg_duration
sequential,10000,49200.666666666664
scheduler,10000,211655.33333333334
parallel execute,10000,24704276.0

sequential,100000,424981.6666666667
scheduler,100000,450878.6666666667
parallel execute,100000,23708008.666666668

sequential,1000000,4436220.333333333
scheduler,1000000,6109584.0
parallel execute,1000000,41499365.333333336
