script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,A,,,,2025-01-06 17:02:13.004386,2025-01-06 17:02:13.693758
parallel execute,B-1,6424,AAARnSAAAAAAb+IAAA,AAARnSAAAAAAf3RH//,2025-01-06 17:02:13.715217,2025-01-06 17:02:13.722620
parallel execute,B-2,3576,AAARnSAAAAAAf3SAAA,AAARnSAAAAAAf3vH//,2025-01-06 17:02:13.723033,2025-01-06 17:02:13.724290
parallel execute,B,,,,2025-01-06 17:02:13.693805,2025-01-06 17:02:16.782500
parallel execute,C-1,6423,AAARnTAAAAAAb+oAAA,AAARnTAAAAAAcCpH//,2025-01-06 17:02:16.805634,2025-01-06 17:02:16.812290
parallel execute,C-2,3577,AAARnTAAAAAAcCqAAA,AAARnTAAAAAAf3/H//,2025-01-06 17:02:16.812735,2025-01-06 17:02:16.814208
parallel execute,C,,,,2025-01-06 17:02:16.782579,2025-01-06 17:02:19.822264
parallel execute,D-1,6415,AAARnUAAAAAAb+wAAA,AAARnUAAAAAAcDhH//,2025-01-06 17:02:19.845362,2025-01-06 17:02:19.852272
parallel execute,A-1,3570,AAARnRAAAAAAcECAAA,AAARnRAAAAAAf2nH//,2025-01-06 17:02:13.595791,2025-01-06 17:02:13.619662
parallel execute,A-2,6430,AAARnRAAAAAACfwAAA,AAARnRAAAAAAcEBH//,2025-01-06 17:02:13.596471,2025-01-06 17:02:13.622985
parallel execute,D-2,3585,AAARnUAAAAAAcDiAAA,AAARnUAAAAAAcD/H//,2025-01-06 17:02:19.852696,2025-01-06 17:02:19.853863
parallel execute,D,,,,2025-01-06 17:02:19.822317,2025-01-06 17:02:22.862278
parallel execute,E-1,6433,AAARnVAAAAAAb+4AAA,AAARnVAAAAAAf6pH//,2025-01-06 17:02:22.885580,2025-01-06 17:02:22.892312
parallel execute,E-1,3567,AAARnVAAAAAAf6qAAA,AAARnVAAAAAAf7HH//,2025-01-06 17:02:22.892783,2025-01-06 17:02:22.894088
parallel execute,E,,,,2025-01-06 17:02:22.862331,2025-01-06 17:02:25.902236
parallel execute,F-1,6420,AAARnWAAAAAAb/AAAA,AAARnWAAAAAAf7xH//,2025-01-06 17:02:25.925798,2025-01-06 17:02:25.933090
parallel execute,F-2,3580,AAARnWAAAAAAf7yAAA,AAARnWAAAAAAf8PH//,2025-01-06 17:02:25.933602,2025-01-06 17:02:25.934898
parallel execute,F,,,,2025-01-06 17:02:25.902293,2025-01-06 17:02:28.942344
parallel execute,G-1,6407,AAARnXAAAAAAb/IAAA,AAARnXAAAAAAf85H//,2025-01-06 17:02:28.965897,2025-01-06 17:02:28.972758
parallel execute,G-2,3593,AAARnXAAAAAAf86AAA,AAARnXAAAAAAf9XH//,2025-01-06 17:02:28.973352,2025-01-06 17:02:28.974662
parallel execute,G,,,,2025-01-06 17:02:28.942410,2025-01-06 17:02:31.982328
parallel execute,H-1,6422,AAARnYAAAAAAb/QAAA,AAARnYAAAAAAf+BH//,2025-01-06 17:02:32.005704,2025-01-06 17:02:32.012662
parallel execute,H-2,3578,AAARnYAAAAAAf+CAAA,AAARnYAAAAAAf+fH//,2025-01-06 17:02:32.013083,2025-01-06 17:02:32.014325
parallel execute,H,,,,2025-01-06 17:02:31.982389,2025-01-06 17:02:35.022540
parallel execute,ALL,,,,2025-01-06 17:02:13.004386,2025-01-06 17:02:35.022927
