script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,A,10000,,,2025-01-06 16:56:50.115831,2025-01-06 16:56:50.126950
sequential,B,10000,,,2025-01-06 16:56:50.126990,2025-01-06 16:56:50.135998
sequential,C,10000,,,2025-01-06 16:56:50.136024,2025-01-06 16:56:50.145494
sequential,D,10000,,,2025-01-06 16:56:50.145528,2025-01-06 16:56:50.154853
sequential,E,10000,,,2025-01-06 16:56:50.154882,2025-01-06 16:56:50.176689
sequential,F,10000,,,2025-01-06 16:56:50.176721,2025-01-06 16:56:50.185979
sequential,G,10000,,,2025-01-06 16:56:50.186006,2025-01-06 16:56:50.194817
sequential,H,10000,,,2025-01-06 16:56:50.194846,2025-01-06 16:56:50.203709
sequential,ALL,,,,2025-01-06 16:56:50.115831,2025-01-06 16:56:50.204144
