script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
scheduler,A,10000,,,2025-01-06 16:58:22.725899,2025-01-06 16:58:22.731232
scheduler,C,10000,,,2025-01-06 16:58:22.826468,2025-01-06 16:58:22.853620
scheduler,G,10000,,,2025-01-06 16:58:22.827040,2025-01-06 16:58:22.860679
scheduler,D,10000,,,2025-01-06 16:58:22.832486,2025-01-06 16:58:22.861148
scheduler,E,10000,,,2025-01-06 16:58:22.834055,2025-01-06 16:58:22.870880
scheduler,B,10000,,,2025-01-06 16:58:22.836657,2025-01-06 16:58:22.879905
scheduler,F,10000,,,2025-01-06 16:58:22.831346,2025-01-06 16:58:22.882569
scheduler,H,10000,,,2025-01-06 16:58:22.838918,2025-01-06 16:58:22.884293
scheduler,ALL,,,,2025-01-06 16:58:22.725899,2025-01-06 16:58:22.884293
