script,count,avg_duration
sequential,10000,49319.0
scheduler,10000,113023.66666666667
parallel execute,10000,24734012.333333332

sequential,100000,410267.0
scheduler,100000,795837.6666666666
parallel execute,100000,24775227.666666668

sequential,1000000,5124343.333333333
scheduler,1000000,15398565.666666666
parallel execute,1000000,24962390.0
