script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,H,10000,,,2025-01-09 11:58:07.523546,2025-01-09 11:58:07.527776
sequential,G,10000,,,2025-01-09 11:58:07.519351,2025-01-09 11:58:07.523520
sequential,F,10000,,,2025-01-09 11:58:07.514643,2025-01-09 11:58:07.519334
sequential,E,10000,,,2025-01-09 11:58:07.510100,2025-01-09 11:58:07.514625
sequential,D,10000,,,2025-01-09 11:58:07.505765,2025-01-09 11:58:07.510082
sequential,C,10000,,,2025-01-09 11:58:07.501115,2025-01-09 11:58:07.505746
sequential,B,10000,,,2025-01-09 11:58:07.496500,2025-01-09 11:58:07.501094
sequential,A,10000,,,2025-01-09 11:58:07.492401,2025-01-09 11:58:07.496478
sequential,ALL,,,,2025-01-09 11:58:07.492401,2025-01-09 11:58:07.527802

