script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,H-1,6422,AAARnYAAAAAAb/QAAA,AAARnYAAAAAAf+BH//,2025-01-09 12:03:28.932778,2025-01-09 12:03:28.936290
parallel execute,H-2,3578,AAARnYAAAAAAf+CAAA,AAARnYAAAAAAf+fH//,2025-01-09 12:03:28.878244,2025-01-09 12:03:28.884300
parallel execute,H,,,,2025-01-09 12:03:28.853725,2025-01-09 12:03:31.893603
parallel execute,G-1,6407,AAARnXAAAAAAb/IAAA,AAARnXAAAAAAf85H//,2025-01-09 12:03:25.982775,2025-01-09 12:03:25.986241
parallel execute,G-2,3593,AAARnXAAAAAAf86AAA,AAARnXAAAAAAf9XH//,2025-01-09 12:03:25.918985,2025-01-09 12:03:25.924653
parallel execute,G,,,,2025-01-09 12:03:25.813738,2025-01-09 12:03:28.853665
parallel execute,F-1,3580,AAARnWAAAAAAf7yAAA,AAARnWAAAAAAf8PH//,2025-01-09 12:03:22.826213,2025-01-09 12:03:22.831542
parallel execute,F-2,6420,AAARnWAAAAAAb/AAAA,AAARnWAAAAAAf7xH//,2025-01-09 12:03:22.826166,2025-01-09 12:03:22.833204
parallel execute,F,,,,2025-01-09 12:03:22.773662,2025-01-09 12:03:25.813674
parallel execute,E-1,3567,AAARnVAAAAAAf6qAAA,AAARnVAAAAAAf7HH//,2025-01-09 12:03:19.753149,2025-01-09 12:03:19.754462
parallel execute,E-2,6433,AAARnVAAAAAAb+4AAA,AAARnVAAAAAAf6pH//,2025-01-09 12:03:19.744918,2025-01-09 12:03:19.752762
parallel execute,E,,,,2025-01-09 12:03:19.733590,2025-01-09 12:03:22.773580
parallel execute,D-1,3585,AAARnUAAAAAAcDiAAA,AAARnUAAAAAAcD/H//,2025-01-09 12:03:16.712911,2025-01-09 12:03:16.713926
parallel execute,D-2,6415,AAARnUAAAAAAb+wAAA,AAARnUAAAAAAcDhH//,2025-01-09 12:03:16.705051,2025-01-09 12:03:16.712511
parallel execute,D,,,,2025-01-09 12:03:16.693683,2025-01-09 12:03:19.733533
parallel execute,C-1,3577,AAARnTAAAAAAcCqAAA,AAARnTAAAAAAf3/H//,2025-01-09 12:03:13.672132,2025-01-09 12:03:13.673584
parallel execute,C-2,6423,AAARnTAAAAAAb+oAAA,AAARnTAAAAAAcCpH//,2025-01-09 12:03:13.664450,2025-01-09 12:03:13.671777
parallel execute,C,,,,2025-01-09 12:03:13.653654,2025-01-09 12:03:16.693614
parallel execute,B-1,3576,AAARnSAAAAAAf3SAAA,AAARnSAAAAAAf3vH//,2025-01-09 12:03:10.729273,2025-01-09 12:03:10.739421
parallel execute,B-2,6424,AAARnSAAAAAAb+IAAA,AAARnSAAAAAAf3RH//,2025-01-09 12:03:10.728536,2025-01-09 12:03:10.739597
parallel execute,B,,,,2025-01-09 12:03:10.613735,2025-01-09 12:03:13.653602
parallel execute,A-1,3570,AAARnRAAAAAAcECAAA,AAARnRAAAAAAf2nH//,2025-01-09 12:03:07.618791,2025-01-09 12:03:07.628843
parallel execute,A-2,6430,AAARnRAAAAAACfwAAA,AAARnRAAAAAAcEBH//,2025-01-09 12:03:07.618179,2025-01-09 12:03:07.629539
parallel execute,A,,,,2025-01-09 12:03:07.218876,2025-01-09 12:03:10.613674
parallel execute,ALL,,,,2025-01-09 12:03:07.218876,2025-01-09 12:03:31.893949

