script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,A,,,,2025-01-11 14:00:23.269826,2025-01-11 14:00:26.522892
parallel execute,H,,,,2025-01-11 14:00:45.164924,2025-01-11 14:00:48.278438
parallel execute,ALL,,,,2025-01-11 14:00:23.269826,2025-01-11 14:00:48.278930
parallel execute,G,,,,2025-01-11 14:00:42.045498,2025-01-11 14:00:45.162957
parallel execute,F,,,,2025-01-11 14:00:38.922392,2025-01-11 14:00:42.045437
parallel execute,E,,,,2025-01-11 14:00:35.812310,2025-01-11 14:00:38.922321
parallel execute,D,,,,2025-01-11 14:00:32.684624,2025-01-11 14:00:35.812245
parallel execute,C,,,,2025-01-11 14:00:29.634306,2025-01-11 14:00:32.684211
parallel execute,B,,,,2025-01-11 14:00:26.522967,2025-01-11 14:00:29.634233
