script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,A,24902,AAARpbAAAAAAuu+AAA,AAARpbAAAAAAux7H//,2025-01-17 09:38:20.021034,2025-01-17 09:38:20.052003
parallel execute,A,24876,AAARpbAAAAAAux8AAA,AAARpbAAAAAAu05H//,2025-01-17 09:38:20.023232,2025-01-17 09:38:20.053734
parallel execute,A,24917,AAARpbAAAAAAu06AAA,AAARpbAAAAAAu33H//,2025-01-17 09:38:20.052402,2025-01-17 09:38:20.084859
parallel execute,A,24867,AAARpbAAAAAAusAAAA,AAARpbAAAAAAuu9H//,2025-01-17 09:38:19.988350,2025-01-17 09:38:20.020578
parallel execute,A,24917,AAARpbAAAAAAupCAAA,AAARpbAAAAAAur/H//,2025-01-17 09:38:19.988349,2025-01-17 09:38:20.022794
parallel execute,A,24878,AAARpbAAAAAAu34AAA,AAARpbAAAAAAu61H//,2025-01-17 09:38:20.054134,2025-01-17 09:38:20.086318
parallel execute,A,24903,AAARpbAAAAAAu62AAA,AAARpbAAAAAAu9zH//,2025-01-17 09:38:20.085249,2025-01-17 09:38:20.116483
parallel execute,A,24884,AAARpbAAAAAAu90AAA,AAARpbAAAAAAvAxH//,2025-01-17 09:38:20.086684,2025-01-17 09:38:20.119938
parallel execute,A,24929,AAARpbAAAAAAvAyAAA,AAARpbAAAAAAvDvH//,2025-01-17 09:38:20.116897,2025-01-17 09:38:20.148948
parallel execute,A,24900,AAARpbAAAAAAvDwAAA,AAARpbAAAAAAvGtH//,2025-01-17 09:38:20.120300,2025-01-17 09:38:20.151409
parallel execute,A,24881,AAARpbAAAAAAvGuAAA,AAARpbAAAAAAvJrH//,2025-01-17 09:38:20.149344,2025-01-17 09:38:20.181612
parallel execute,A,24902,AAARpbAAAAAAvJsAAA,AAARpbAAAAAAvMpH//,2025-01-17 09:38:20.151756,2025-01-17 09:38:20.184728
parallel execute,A,24872,AAARpbAAAAAAvMqAAA,AAARpbAAAAAAvPnH//,2025-01-17 09:38:20.182005,2025-01-17 09:38:20.214212
parallel execute,A,24922,AAARpbAAAAAAvPoAAA,AAARpbAAAAAAvSlH//,2025-01-17 09:38:20.185140,2025-01-17 09:38:20.216835
parallel execute,A,24869,AAARpbAAAAAAvSmAAA,AAARpbAAAAAAvVjH//,2025-01-17 09:38:20.214676,2025-01-17 09:38:20.248103
parallel execute,A,24899,AAARpbAAAAAAvVkAAA,AAARpbAAAAAAvYhH//,2025-01-17 09:38:20.217193,2025-01-17 09:38:20.248557
parallel execute,A,24874,AAARpbAAAAAAvYiAAA,AAARpbAAAAAAvbfH//,2025-01-17 09:38:20.248536,2025-01-17 09:38:20.279774
parallel execute,A,24942,AAARpbAAAAAAvbgAAA,AAARpbAAAAAAvedH//,2025-01-17 09:38:20.248923,2025-01-17 09:38:20.280794
parallel execute,A,24887,AAARpbAAAAAAveeAAA,AAARpbAAAAAAvhbH//,2025-01-17 09:38:20.280295,2025-01-17 09:38:20.309882
parallel execute,A,24882,AAARpbAAAAAAvhcAAA,AAARpbAAAAAAvkZH//,2025-01-17 09:38:20.281232,2025-01-17 09:38:20.313974
parallel execute,A,24873,AAARpbAAAAAAvkaAAA,AAARpbAAAAAAvnXH//,2025-01-17 09:38:20.310278,2025-01-17 09:38:20.343732
parallel execute,A,24960,AAARpbAAAAAAvnYAAA,AAARpbAAAAAAvqVH//,2025-01-17 09:38:20.314408,2025-01-17 09:38:20.346130
parallel execute,A,24856,AAARpbAAAAAAvqWAAA,AAARpbAAAAAAvtTH//,2025-01-17 09:38:20.344196,2025-01-17 09:38:20.377897
parallel execute,A,24944,AAARpbAAAAAAvtUAAA,AAARpbAAAAAAvwRH//,2025-01-17 09:38:20.346548,2025-01-17 09:38:20.378597
parallel execute,A,24888,AAARpbAAAAAAvwSAAA,AAARpbAAAAAAvzPH//,2025-01-17 09:38:20.378331,2025-01-17 09:38:20.410876
parallel execute,A,24914,AAARpbAAAAAAvzQAAA,AAARpbAAAAAAv2NH//,2025-01-17 09:38:20.378961,2025-01-17 09:38:20.411693
parallel execute,A,24885,AAARpbAAAAAAv2OAAA,AAARpbAAAAAAv5LH//,2025-01-17 09:38:20.411292,2025-01-17 09:38:20.444976
parallel execute,A,24928,AAARpbAAAAAAv5MAAA,AAARpbAAAAAAv8JH//,2025-01-17 09:38:20.412079,2025-01-17 09:38:20.444990
parallel execute,A,24905,AAARpbAAAAAAv/IAAA,AAARpbAAAAAAwCFH//,2025-01-17 09:38:20.445500,2025-01-17 09:38:20.479533
parallel execute,A,24886,AAARpbAAAAAAv8KAAA,AAARpbAAAAAAv/HH//,2025-01-17 09:38:20.445443,2025-01-17 09:38:20.479695
parallel execute,A,24886,AAARpbAAAAAAwCGAAA,AAARpbAAAAAAwFDH//,2025-01-17 09:38:20.479933,2025-01-17 09:38:20.513060
parallel execute,A,24890,AAARpbAAAAAAwFEAAA,AAARpbAAAAAAwIBH//,2025-01-17 09:38:20.480262,2025-01-17 09:38:20.514454
