script,cpu,avg_duration
sequential,1,47767.333333333336
scheduler,1,203072.66666666666
parallel execute,1,24617754.0
sequential,2,51201.333333333336
scheduler,2,97987.33333333333
parallel execute,2,24618991.666666668
sequential,4,48687.0
scheduler,4,127098.0
parallel execute,4,24621604.333333332
sequential,8,48450.666666666664
scheduler,8,78384.33333333333
parallel execute,8,24702904.0
