script,count,avg_duration
sequential,10000,48450.666666666664
scheduler,10000,78384.33333333333
parallel execute,10000,24702904.0

sequential,100000,411792.0
scheduler,100000,819667.0
parallel execute,100000,24645446.666666668

sequential,1000000,6353662.0
scheduler,1000000,7460650.0
parallel execute,1000000,24733170.333333332
