script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
scheduler,F,10000,,,2025-01-09 07:50:21.917948,2025-01-09 07:50:21.992635
scheduler,E,10000,,,2025-01-09 07:50:21.916596,2025-01-09 07:50:21.992582
scheduler,C,10000,,,2025-01-09 07:50:21.917936,2025-01-09 07:50:21.992119
scheduler,A,10000,,,2025-01-09 07:50:21.917274,2025-01-09 07:50:21.990631
scheduler,D,10000,,,2025-01-09 07:50:21.916600,2025-01-09 07:50:21.990426
scheduler,B,10000,,,2025-01-09 07:50:21.917310,2025-01-09 07:50:21.989869
scheduler,G,10000,,,2025-01-09 07:50:21.917354,2025-01-09 07:50:21.989469
scheduler,H,10000,,,2025-01-09 07:50:21.916596,2025-01-09 07:50:21.987011
scheduler,ALL,,,,2025-01-09 07:50:21.916596,2025-01-09 07:50:21.992635
